Tarix,Vaxt (Bakı),Coin,İstiqamət,Təklif Olunan Miqdar,Qiymət,Təklif Olunan Ölçü (USD),Gözlənilən Hədəf,Gözlənilən Dəyişim (%),Status,Qeyd
2026-07-31,14:07:42,BTCUSDT,,,63668.01,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -1.20% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 17.09-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,14:07:42,ETHUSDT,,,1881.12,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 1.70% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 15.02-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-07-31,14:07:43,PAXGUSDT,,,4055.94,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-07-31,16:29:57,BTCUSDT,,,63746.64,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -1.07% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 13.78-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,16:29:58,ETHUSDT,BUY,0.006919,1879.01,13.00,1933.61,2.91,SİQNAL,"Bütün şərtlər ödənildi — razısansa manual icra et"
2026-07-31,16:30:11,PAXGUSDT,,,4045.70,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-07-31,19:00:53,BTCUSDT,,,62618.01,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.80% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 13.78-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,19:00:53,ETHUSDT,,,1856.85,,,,GÖZLƏ,"Bu 4H şamında ETHUSDT üçün artıq siqnal verilib — eyni şam ərzində təkrar siqnal qeydə alınmır (dublikat qarşısı)."
2026-07-31,19:00:53,PAXGUSDT,,,4049.74,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-07-31,20:49:06,BTCUSDT,,,62820.83,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.47% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 4.32-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,20:49:07,ETHUSDT,,,1863.16,,,,GÖZLƏ,"RSI(3) artıq bir neçə şamdır 15-in altındadır (bağlanmış şam 5.71, əvvəlki 11.96) — bu, davam edən sərt düşüşdür (düşən bıçaq). İlk düşüş anında siqnal artıq verilmişdi; təkrar alış siqnalı verilmir. RSI 15-in üstünə qayıdıb yenidən düşərsə, təzə fürsət sayılacaq."
2026-07-31,20:49:07,PAXGUSDT,,,4043.87,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-07-31,22:24:18,BTCUSDT,,,63177.31,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -1.92% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 4.32-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-07-31,22:24:18,ETHUSDT,,,1872.71,,,,GÖZLƏ,"RSI(3) artıq bir neçə şamdır 15-in altındadır (bağlanmış şam 5.71, əvvəlki 11.96) — bu, davam edən sərt düşüşdür (düşən bıçaq). İlk düşüş anında siqnal artıq verilmişdi; təkrar alış siqnalı verilmir. RSI 15-in üstünə qayıdıb yenidən düşərsə, təzə fürsət sayılacaq."
2026-07-31,22:24:19,PAXGUSDT,,,4049.04,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-08-01,00:04:32,BTCUSDT,,,62991.57,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.18% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 22.94-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-08-01,00:04:32,ETHUSDT,,,1868.86,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 1.01% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 20.97-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-08-01,00:04:32,PAXGUSDT,,,4049.26,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-08-01,01:16:01,BTCUSDT,,,63010.84,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.15% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 22.94-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-08-01,01:16:01,ETHUSDT,,,1862.94,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 0.69% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 20.97-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-08-01,01:16:01,PAXGUSDT,,,4045.47,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-08-01,02:34:09,BTCUSDT,,,62988.87,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.19% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 22.94-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-08-01,02:34:10,ETHUSDT,,,1865.38,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 0.82% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 20.97-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-08-01,02:34:10,PAXGUSDT,,,4048.19,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-08-01,03:34:25,BTCUSDT,,,62987.72,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.19% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 22.94-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-08-01,03:34:25,ETHUSDT,,,1864.17,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 0.76% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 20.97-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-08-01,03:34:25,PAXGUSDT,,,4048.09,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 hələ EMA20-nin üstündədir. Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-08-01,05:07:35,BTCUSDT,,,62958.92,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.21% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 20.93-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-08-01,05:07:35,ETHUSDT,,,1867.05,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 0.91% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 16.66-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-08-01,05:07:35,PAXGUSDT,,,4046.44,,,,GÖZLƏ,"ADX(14) hazırda 18.9 — 22 həddindən aşağıdır. Bu, bazarın yan hərəkətdə (sideways) olduğunu göstərir: belə şəraitdə EMA kəsişmələrinin əksəriyyəti yalan siqnaldır (whipsaw). Trend güclənənə qədər gözləmək tövsiyə olunur."
2026-08-01,08:56:49,BTCUSDT,,,63098.00,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -1.98% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 33.12-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-08-01,08:56:50,ETHUSDT,,,1869.84,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 1.04% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 40.53-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-08-01,08:56:50,PAXGUSDT,,,4045.30,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 aşağıdadır, amma kəsişmə köhnədir (gecikmiş giriş riskli). Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-08-01,11:31:36,BTCUSDT,,,63066.67,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.02% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 33.12-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-08-01,11:31:36,ETHUSDT,,,1869.35,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 1.02% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 40.53-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-08-01,11:31:36,PAXGUSDT,,,4046.32,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 aşağıdadır, amma kəsişmə köhnədir (gecikmiş giriş riskli). Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-08-01,13:32:20,BTCUSDT,,,63112.94,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -1.93% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 38.71-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-08-01,13:32:20,ETHUSDT,,,1870.10,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 1.05% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 40.34-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-08-01,13:32:20,PAXGUSDT,,,4047.82,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 aşağıdadır, amma kəsişmə köhnədir (gecikmiş giriş riskli). Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-08-01,15:00:32,BTCUSDT,,,63052.14,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -2.03% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 38.71-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-08-01,15:00:32,ETHUSDT,,,1866.92,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 0.88% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 40.34-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-08-01,15:00:32,PAXGUSDT,,,4046.23,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 aşağıdadır, amma kəsişmə köhnədir (gecikmiş giriş riskli). Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-08-01,16:05:33,BTCUSDT,,,63113.14,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -1.91% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 42.70-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-08-01,16:05:33,ETHUSDT,,,1867.77,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 0.91% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 32.13-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-08-01,16:05:33,PAXGUSDT,,,4046.75,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 aşağıdadır, amma kəsişmə köhnədir (gecikmiş giriş riskli). Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
2026-08-01,17:46:46,BTCUSDT,,,63068.00,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR (qiymət EMA(200)-dən -1.98% aşağıda) — SHORT siqnalı üçün qısamüddətli yuxarı sıçrayış (bounce) gözlənilir: şam RSI(3) > 85 ilə BAĞLANMALIDIR, son bağlanmış şamda 42.70-dir. Qiymət müvəqqəti qalxanda siqnal gələcək."
2026-08-01,17:46:46,ETHUSDT,,,1868.22,,,,GÖZLƏ,"Trend YÜKSƏLİŞDİR (qiymət EMA(200)-dən 0.94% yuxarıda) — BUY siqnalı üçün qısamüddətli geri çəkilmə (pullback) gözlənilir: şam RSI(3) < 15 ilə BAĞLANMALIDIR, son bağlanmış şamda 32.13-dir. Qiymət bir-iki şam geri çəkiləndə siqnal gələcək."
2026-08-01,17:46:47,PAXGUSDT,,,4046.64,,,,GÖZLƏ,"Trend DÜŞÜŞDÜR, amma giriş üçün EMA(9)-un EMA(20)-ni aşağı kəsməsi və şamın bağlanması ilə təsdiqi gözlənilir — hazırda EMA9 aşağıdadır, amma kəsişmə köhnədir (gecikmiş giriş riskli). Yeni düşüş dalğası şam bağlanışı ilə təsdiqlənəndə siqnal gələcək."
